Decks,Word,Definition,Example,Article,Plural,Past Tense,Future Tense,Past Participle,Exercise Type,Question,Correct Answer,Options,Explanation
Chapter 4 > 4.4,aanleggen,Lay on,,,,,,,,,,,
Chapter 4 > 4.6,aanlopen,Drop in,,,,,,,,,,,
Chapter 3 > 3.3,aanmelden,To register,,,,,,,,,,,
Chapter 2 > 2.4,Aanpak,The approach The method,,De,,,,,,,,,
Chapter 2 > 2.5,aanpassen,Adjust,,,,,,,,,,,
Chapter 4 > 4.3,aanraden,Recommend/Suggest,,,,,,,,,,,
Chapter 1 > 1.5,aanraken,to touch,,,,,,,,,,,
Chapter 5 > 5.3,aanspreken,to address,,,,,,,,,,,
Chapter 2 > 2.2,Aanvallen,To attack,,,,,,,,,,,
Chapter 3 > 3.7,Achteraan,At the back/end,,,,,,,,,,,
Chapter 3 > 3.3,Achteraf,afterwards later in hindsight,,,,,,,,,,,
Chapter 2 > 2.6,Achteren,Backwards,,,,,,,,,,,
Chapter 2 > 2.2,ademen,to breathe,,,,,,,,,,,
Chapter 2 > 2.6,ademhaling,Breathing,,,,,,,,,,,
Chapter 1 > 1.1,administratie,administration,,,,,,,,,,,
Chapter 3 > 3.3,Afmelden,Log out,,,,,,,,,,,
Chapter 5 > 5.1,afnemen,Take off,,,,,,,,,,,
Chapter 2 > 2.4,Afwisselend,Varied Diverse,,,,,,,,,,,
Chapter 1 > 1.7,angst,fear,,,,,,,,,,,
Dutch Basics,appel,apple,Ik eet een rode appel.,de,appels,,,,,,,,
Chapter 5 > 5.1,arbeidsmarkt,Labour job market,,,,,,,,,,,
Dutch Basics,auto,car,Ik rijd in een nieuwe auto.,de,auto's,,,,,,,,
Chapter 1 > 1.7,avontuur,adventure,,,,,,,,,,,
Chapter 4 > 4.1,Balen,Annoyed / Disappointed,,,,,,,,,,,
Chapter 3 > 3.1,Bedrag,Amount,,,,,,,,,,,
Chapter 2 > 2.2,behandelen,to treat/to handle,,,,,,,,,,,
Chapter 2 > 2.5,Bejaarden,Old people,,,,,,,,,,,
Chapter 5 > 5.3,belangstelling,interest,,,,,,,,,,,
Chapter 1 > 1.2,beleefd,polite,,,,,,,,,,,
Chapter 2 > 2.2,benauwd,stuffy/breathless,,,,,,,,,,,
Chapter 2 > 2.4,Beperking,Limitation Restriction Disability,,,,,,,,,,,
Chapter 4 > 4.3,beperkt,Limited,,,,,,,,,,,
Chapter 3 > 3.5,bereid,Prepared,,,,,,,,,,,
Chapter 2 > 2.2,Beschadigd,Damage,,,,,,,,,,,
Chapter 4 > 4.1,beseffen,Realize/Be aware of,,,,,,,,,,,
Chapter 1 > 1.2,beslissing,decision,,,,,,,,,,,
Chapter 3 > 3.7,Bespaar,Save,,,,,,,,,,,
Chapter 3 > 3.7,besparen,Save,,,,,,,,,,,
Chapter 3 > 3.3,Bespreken,to discuss to talk about to review,,,,,,,,,,,
Chapter 2 > 2.5,bestaan,Exist,,,,,,,,,,,
Chapter 4 > 4.4,besteden,Spend,,,,,,,,,,,
Chapter 5 > 5.3,betreft,regarding,,,,,,,,,,,
Chapter 1 > 1.7,betrouwbaar,trustworthy,,,,,,,,,,,
Chapter 4 > 4.6,bevalt me,I like it / it pleases me,,,,,,,,,,,
Chapter 4 > 4.3,bevestigen,Confirm,,,,,,,,,,,
Chapter 3 > 3.1,bijeenkomst,Meeting,,,,,,,,,,,
Chapter 5 > 5.3,bijlage,appendix,,,,,,,,,,,
Chapter 2 > 2.3,bijsluiter,package insert,,,,,,,,,,,
Chapter 2 > 2.3,bijwerking,side effect,,,,,,,,,,,
Chapter 4 > 4.1,biljet,Ticket/Bank Note,,,,,,,,,,,
Chapter 3 > 3.1,blad,Leaf,,,,,,,,,,,
Dutch Basics,boek,book,Ik lees een interessant boek.,het,boeken,,,,,,,,
Chapter 2 > 2.7,Bonnen,Bones,,,,,,,,,,,
Chapter 3 > 3.7,boormachine,Drilling machine,,,,,,,,,,,
Chapter 1 > 1.5,boren,to drill,,,,,,,,,,,
Chapter 5 > 5.2,bovendien,moreover / besides,,,,,,,,,,,
Chapter 4 > 4.4,brandstof,Fuel,,,,,,,,,,,
Chapter 2 > 2.3,brandwonden,Burns,,,,,,,,,,,
Chapter 1 > 1.5,breien,to knit,,,,,,,,,,,
Dutch Basics,brood,bread,Ik eet vers brood.,het,broden,,,,,,,,
Chapter 4 > 4.1,bruid,bride,,,,,,,,,,,
Chapter 2 > 2.6,buigen,Bend,,,,,,,,,,,
Chapter 1 > 1.1,coach,coach,,,,,,,,,,,
Chapter 5 > 5.1,daardoor,As a result because of,,,,,,,,,,,
Chapter 5 > 5.1,daarentegen,On the other hand,,,,,,,,,,,
Chapter 4 > 4.4,daarnaast,In addition,,,,,,,,,,,
Chapter 5 > 5.2,daarvoor,beforehand,,,,,,,,,,,
Chapter 4 > 4.4,dagelijkse,Daily,,,,,,,,,,,
Chapter 3 > 3.1,Dak,roof,,,,,,,,,,,
Chapter 1 > 1.5,deelnemen,participate,,,,,,,,,,,
Chapter 3 > 3.6,Dekbed,Duvet,,,,,,,,,,,
Chapter 1 > 1.1,depressief,depressed,,,,,,,,,,,
Chapter 1 > 1.5,deskundig,expert,,,,,,,,,,,
Chapter 2 > 2.4,Diagnose,Diagnosis,,,,,,,,,,,
Chapter 1 > 1.1,dienst,employ,,,,,,,,,,,
Chapter 1 > 1.2,direct,directly,,,,,,,,,,,
Chapter 1 > 1.7,doel,goal,,,,,,,,,,,
Dutch Basics,doen,to do,Wat doe je vandaag?,,,deed,zal doen,gedaan,,,,,
Chapter 1 > 1.7,dromen,dream,,,,,,,,,,,
Chapter 3 > 3.3,Dweil,Mop,,,,,,,,,,,
Chapter 4 > 4.3,dwingen,Force,,,,,,,,,,,
Chapter 5 > 5.4,echter,however,,,,,,,,,,,
Chapter 4 > 4.4,eenmalig,One time,,,,,,,,,,,
Chapter 3 > 3.7,eenvoudig,Simple,,,,,,,,,,,
Chapter 1 > 1.2,eenzaam,lonely,,,,,,,,,,,
